epoch,step,test_loss/dataloader_idx_0,test_loss/dataloader_idx_1,test_loss/dataloader_idx_2,test_loss/dataloader_idx_3,train_loss
0,49,,,,,4.823785781860352
1,99,,,,,4.761794567108154
2,149,,,,,4.548611164093018
3,199,,,,,4.626679420471191
3,249,,,,,4.284261703491211
4,299,,,,,4.187405586242676
5,349,,,,,4.069124698638916
6,399,,,,,3.9307267665863037
6,449,,,,,3.717822551727295
7,499,,,,,3.6098780632019043
8,549,,,,,3.513636827468872
9,599,,,,,3.469820737838745
9,649,,,,,3.272066593170166
10,660,7.9741106033325195,3.200996160507202,7.049566268920898,3.6031205654144287,
